,precision,recall,f1-score,support
A,1.0,1.0,1.0,10.0
B,1.0,1.0,1.0,9.0
C,0.8,1.0,0.8888888888888888,8.0
D,1.0,1.0,1.0,10.0
E,1.0,1.0,1.0,10.0
F,1.0,0.4,0.5714285714285714,10.0
G,1.0,1.0,1.0,10.0
I,1.0,1.0,1.0,11.0
K,1.0,1.0,1.0,10.0
L,1.0,1.0,1.0,10.0
M,1.0,1.0,1.0,11.0
N,1.0,1.0,1.0,11.0
O,1.0,0.7777777777777778,0.875,9.0
P,1.0,1.0,1.0,11.0
Q,1.0,1.0,1.0,11.0
R,1.0,1.0,1.0,9.0
S,0.7692307692307693,1.0,0.8695652173913043,10.0
T,0.6923076923076923,0.9,0.782608695652174,10.0
U,1.0,1.0,1.0,10.0
accuracy,0.9526315789473684,0.9526315789473684,0.9526315789473684,0.9526315789473684
macro avg,0.9611336032388665,0.9514619883040935,0.9467100722821546,190.0
weighted avg,0.9632388663967612,0.9526315789473684,0.9485375576622717,190.0
