,precision,recall,f1-score,support
A,1.0,1.0,1.0,10.0
B,1.0,1.0,1.0,9.0
C,0.8888888888888888,1.0,0.9411764705882353,8.0
D,1.0,1.0,1.0,10.0
E,1.0,1.0,1.0,10.0
F,0.7692307692307693,1.0,0.8695652173913043,10.0
G,1.0,1.0,1.0,10.0
I,1.0,1.0,1.0,11.0
K,1.0,1.0,1.0,10.0
L,1.0,1.0,1.0,10.0
M,1.0,1.0,1.0,11.0
N,1.0,1.0,1.0,11.0
O,1.0,0.8888888888888888,0.9411764705882353,9.0
P,1.0,1.0,1.0,11.0
Q,1.0,1.0,1.0,11.0
R,0.8181818181818182,1.0,0.9,9.0
S,0.9090909090909091,1.0,0.9523809523809523,10.0
T,1.0,0.6,0.75,10.0
U,1.0,0.8,0.8888888888888888,10.0
accuracy,0.9631578947368421,0.9631578947368421,0.9631578947368421,0.9631578947368421
macro avg,0.9676522308101255,0.9625730994152049,0.9601677894651377,190.0
weighted avg,0.9697787592524435,0.9631578947368421,0.9616228978242708,190.0
